site,drug_a,drug_b,n_both_known,n_ss,n_sr,n_rs,n_rr,prevalence_a,prevalence_b,p_rr_observed,p_rr_expected_independent,rr_lift,log2_rr_lift,odds_ratio_haldane,log2_odds_ratio,phi,resistant_jaccard
ALL,Ciprofloxacin,Norfloxacin,1090,817,10,0,263,0.241284,0.250459,0.241284,0.0604318,3.99267,1.99736,41030.7,15.3244,0.975562,0.96337
ALL,Ciprofloxacin,Amoxicillin-Clavulanic acid,4336,2843,534,520,439,0.221172,0.2244,0.101245,0.049631,2.03996,1.02854,4.49204,2.16737,0.298095,0.294039
ALL,Ciprofloxacin,Ceftriaxone,4371,3227,174,533,437,0.221917,0.139785,0.0999771,0.0310207,3.22292,1.68837,15.1675,3.92291,0.478556,0.381993
ALL,Ciprofloxacin,Ceftazidime,4246,3219,150,567,310,0.206547,0.108337,0.0730099,0.0223768,3.26275,1.70609,11.7044,3.54897,0.402416,0.30185
ALL,Ciprofloxacin,Cefepime,3873,3060,67,524,222,0.192616,0.0746192,0.0573199,0.0143728,3.98808,1.99569,19.2342,4.2656,0.414441,0.273063
ALL,Norfloxacin,Amoxicillin-Clavulanic acid,1072,667,135,133,137,0.251866,0.253731,0.127799,0.0639062,1.99978,0.999843,5.0738,2.34307,0.338251,0.338272
ALL,Norfloxacin,Ceftriaxone,1079,739,67,150,123,0.253012,0.176089,0.113994,0.0445526,2.55865,1.35538,8.99011,3.16834,0.41936,0.361765
ALL,Norfloxacin,Ceftazidime,1068,746,62,159,101,0.243446,0.152622,0.0945693,0.0371551,2.54526,1.34781,7.60073,2.92614,0.372007,0.313665
ALL,Norfloxacin,Cefepime,771,544,32,106,89,0.252918,0.156939,0.115435,0.0396928,2.9082,1.54013,14.0795,3.81553,0.479034,0.39207
ALL,Amoxicillin-Clavulanic acid,Ceftriaxone,4439,3162,274,634,369,0.225952,0.144852,0.0831268,0.0327297,2.5398,1.34472,6.7092,2.74614,0.342398,0.288958
ALL,Amoxicillin-Clavulanic acid,Ceftazidime,4304,3196,162,628,318,0.219796,0.111524,0.0738848,0.0245125,3.01416,1.59176,9.9684,3.31736,0.378758,0.287004
ALL,Amoxicillin-Clavulanic acid,Cefepime,3917,2969,92,647,209,0.218535,0.0768445,0.0533572,0.0167932,3.17731,1.66781,10.3869,3.37669,0.332196,0.220464
ALL,Ceftriaxone,Ceftazidime,4349,3799,27,77,446,0.120258,0.108761,0.102552,0.0130793,7.84082,2.971,796.001,9.63663,0.883538,0.810909
ALL,Ceftriaxone,Cefepime,3956,3540,12,121,283,0.102123,0.0745703,0.0715369,0.00761537,9.39376,3.2317,660.893,9.36827,0.803566,0.680288
ALL,Ceftazidime,Cefepime,3907,3530,17,89,271,0.0921423,0.0737138,0.0693627,0.00679216,10.2122,3.35222,611.991,9.25737,0.827912,0.718833
