site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year,strongest_network_partner,partner_phi,partner_rr_lift
A-2018,Staphylococcus aureus,Ciprofloxacin,0.765865,0.722238,0.809085,0.512545,0.801755,0.750613,0.850547,0.553512,0.726317,0.662067,0.782527,0.736991,11684,0.00199601,0.444595,0.0264859,0.857143,interpretable,focal_signal_retained,1183,155,1014,125,12,3,3,False,Oxacillin,0.324788,4.00021
A-2018,Staphylococcus aureus,Clindamycin,0.588432,0.53794,0.637931,0.226873,0.599664,0.544404,0.661885,0.220908,0.502709,0.428309,0.564274,0.427008,7035,0.133733,0.48119,0.0191959,0.749126,interpretable,weak_raw_signal,1144,149,857,112,8,3,3,False,Erythromycin,0.790504,5.29668
A-2018,Staphylococcus aureus,Erythromycin,0.607152,0.555417,0.65143,0.260039,0.603077,0.542723,0.656739,0.190641,0.46552,0.396366,0.531929,0.481459,8387,0.0718563,0.429781,0.0241382,0.834495,interpretable,background_driven_collapse,1148,181,958,103,9,3,3,False,Clindamycin,0.790504,5.29668
A-2018,Staphylococcus aureus,Fusidic acid,0.621753,0.546662,0.693023,0.0955449,0.616631,0.531213,0.692398,0.107268,0.613102,0.537449,0.692867,0.650641,13416,0.00199601,0.49507,0.0393206,0.755738,interpretable,focal_signal_retained,1220,71,922,57,8,3,3,False,Gentamicin,0.115334,4.44926
A-2018,Staphylococcus aureus,Gentamicin,0.643705,0.525477,0.750386,0.0559667,0.659205,0.52098,0.778479,0.0905746,0.501807,0.318934,0.669994,0.510662,1829,0.149701,0.418331,0.0835378,0.517597,interpretable,background_driven_collapse,1165,28,603,17,5,3,3,False,Oxacillin,0.24996,5.79254
A-2018,Staphylococcus aureus,Oxacillin,0.839466,0.804106,0.872694,0.67368,0.839998,0.80165,0.877276,0.728815,0.730665,0.672303,0.784,0.791031,32110,0.00199601,0.452333,0.0237037,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False,Ciprofloxacin,0.324788,4.00021
A-2018,Staphylococcus aureus,Penicillin,0.729213,0.700151,0.76123,0.86921,0.720635,0.687231,0.754082,0.830159,0.72194,0.684586,0.753888,0.712412,110634,0.00199601,0.501105,0.0199634,0.777778,interpretable,focal_signal_retained,1134,812,882,579,8,3,3,False,Oxacillin,0.218309,1.40025
DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.627773,0.478659,0.791211,0.179266,0.710227,0.44382,0.903955,0.0416628,0.710227,0.455056,0.904494,0.710227,528,0.107784,0.510227,0.160514,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False,Oxacillin,0.324788,4.00021
DRIAMS-B,Staphylococcus aureus,Clindamycin,0.612584,0.493987,0.71418,0.209856,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False,Erythromycin,0.790504,5.29668
DRIAMS-B,Staphylococcus aureus,Erythromycin,0.602793,0.489996,0.705144,0.171049,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,3,3,False,Clindamycin,0.790504,5.29668
DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.558436,0.458394,0.671502,0.0704725,0.608743,0.467914,0.762681,0.101821,0.544262,0.379227,0.717568,0.557196,1084,0.283433,0.489604,0.0909682,0.557803,interpretable,weak_raw_signal,346,20,193,10,2,3,3,False,Gentamicin,0.115334,4.44926
DRIAMS-B,Staphylococcus aureus,Gentamicin,0.536765,0.35942,0.725291,0.0324534,0.347985,0.0549451,0.555556,0.0320441,0.347985,0.0645161,0.550562,0.347985,273,0.798403,0.496681,0.178416,0.270115,caution_low_n_matched,caution_low_matched_support,348,8,94,3,1,3,3,False,Oxacillin,0.24996,5.79254
DRIAMS-B,Staphylococcus aureus,Oxacillin,0.824762,0.68584,0.918562,0.392561,0.871212,0.675978,1,0.564861,0.871212,0.658333,1,0.871212,1056,0.00199601,0.495634,0.124026,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,3,3,False,Ciprofloxacin,0.324788,4.00021
DRIAMS-B,Staphylococcus aureus,Penicillin,0.658536,0.603857,0.71462,0.795148,0.666254,0.595977,0.727094,0.80088,0.665789,0.60774,0.726069,0.688064,16170,0.00199601,0.502534,0.0358723,0.83908,interpretable,focal_signal_retained,348,227,292,190,2,3,3,False,Oxacillin,0.218309,1.40025
DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.676682,0.58295,0.77903,0.166451,0.727333,0.609261,0.84363,0.206289,0.705891,0.571493,0.830051,0.613522,3964,0.00199601,0.468432,0.065304,0.825203,interpretable,focal_signal_retained,738,33,609,23,4,3,3,False,Oxacillin,0.324788,4.00021
DRIAMS-C,Staphylococcus aureus,Clindamycin,0.51611,0.451266,0.584886,0.180299,0.483107,0.401554,0.560535,0.125648,0.484,0.408239,0.55578,0.514972,17232,0.706587,0.502887,0.0385883,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,3,3,False,Erythromycin,0.790504,5.29668
DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.596307,0.447452,0.739535,0.0498606,0.629007,0.429942,0.836657,0.0632524,0.629357,0.426957,0.824038,0.623027,3422,0.0778443,0.504328,0.0892868,0.814132,interpretable,weak_raw_signal,651,17,530,11,2,3,3,False,Gentamicin,0.115334,4.44926
DRIAMS-C,Staphylococcus aureus,Gentamicin,0.48935,0.349451,0.630556,0.0206875,0.578081,0.404924,0.74359,0.0273148,0.518856,0.307692,0.683239,0.487472,1317,0.49501,0.511282,0.0981862,0.607046,interpretable,weak_raw_signal,738,15,448,9,3,3,3,False,Oxacillin,0.24996,5.79254
DRIAMS-C,Staphylococcus aureus,Oxacillin,0.71764,0.619662,0.798627,0.223668,0.727074,0.623111,0.815605,0.203831,0.733367,0.62931,0.837032,0.762802,8807,0.00199601,0.504122,0.052641,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,3,3,False,Ciprofloxacin,0.324788,4.00021
DRIAMS-C,Staphylococcus aureus,Penicillin,0.705811,0.67015,0.746015,0.879392,0.698825,0.657788,0.740916,0.864696,0.689898,0.64865,0.730869,0.681753,56189,0.00199601,0.495638,0.0253803,0.915989,interpretable,focal_signal_retained,738,547,676,488,5,3,3,False,Oxacillin,0.218309,1.40025
DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.695527,0.648511,0.750515,0.287321,0.693049,0.638961,0.747572,0.298508,0.662356,0.59756,0.727903,0.704834,44741,0.00199601,0.473379,0.026185,0.844054,interpretable,focal_signal_retained,2161,138,1824,117,7,3,3,False,Oxacillin,0.324788,4.00021
DRIAMS-D,Staphylococcus aureus,Clindamycin,0.527941,0.414161,0.653804,0.419562,0.338462,0.0444444,0.65,0.663521,0.338462,0.0625,0.625,0.338462,65,0.834331,0.496923,0.159868,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,3,3,False,Erythromycin,0.790504,5.29668
DRIAMS-D,Staphylococcus aureus,Erythromycin,0.598503,0.565469,0.628252,0.270198,0.60482,0.573102,0.64023,0.254401,0.578011,0.543678,0.617086,0.572722,154115,0.00199601,0.487284,0.0179033,0.959078,interpretable,weak_raw_signal,1735,344,1664,302,7,3,3,False,Clindamycin,0.790504,5.29668
DRIAMS-D,Staphylococcus aureus,Gentamicin,0.578081,0.460195,0.714392,0.0300629,0.516838,0.372789,0.682094,0.0157967,0.485674,0.328402,0.633639,0.559147,4362,0.473054,0.482014,0.0729368,0.547179,interpretable,weak_raw_signal,2162,25,1183,15,3,3,3,False,Oxacillin,0.24996,5.79254
DRIAMS-D,Staphylococcus aureus,Penicillin,0.72553,0.692109,0.761591,0.950577,0.72232,0.684567,0.757993,0.947791,0.716922,0.682641,0.749223,0.735668,86554,0.00199601,0.499099,0.0225242,0.940523,interpretable,focal_signal_retained,1530,1344,1439,1257,8,3,3,False,Oxacillin,0.218309,1.40025
