target,feature,mz_center,n_pos,n_neg,mean_pos,mean_neg,effect_pos_minus_neg,abs_effect
ST131,mz_6850_6875,6862.5,55,352,2.313465,7.299344,-4.985879,4.985879
ST131,mz_13750_13775,13762.5,55,352,5.251216,0.437515,4.813701,4.813701
ST131,mz_9725_9750,9737.5,55,352,0.189408,4.275583,-4.086176,4.086176
ST131,mz_8300_8325,8312.5,55,352,0.183077,3.145547,-2.96247,2.96247
ST131,mz_12150_12175,12162.5,55,352,5.074936,2.116869,2.958067,2.958067
ST131,mz_9700_9725,9712.5,55,352,8.734043,6.06185,2.672193,2.672193
ST131,mz_10475_10500,10487.5,55,352,2.78789,0.160322,2.627568,2.627568
ST131,mz_15300_15325,15312.5,55,352,5.362095,2.809481,2.552614,2.552614
ST131,mz_7900_7925,7912.5,55,352,4.99566,2.544018,2.451642,2.451642
ST131,mz_10650_10675,10662.5,55,352,4.102135,1.767558,2.334577,2.334577
ST131,mz_13725_13750,13737.5,55,352,3.605035,5.645911,-2.040876,2.040876
ST131,mz_8425_8450,8437.5,55,352,3.237423,1.22694,2.010483,2.010483
ST131,mz_9175_9200,9187.5,55,352,6.307703,4.316995,1.990708,1.990708
ST131,mz_13700_13725,13712.5,55,352,1.360799,3.285158,-1.924359,1.924359
ST131,mz_4525_4550,4537.5,55,352,4.712154,6.61044,-1.898286,1.898286
ST131,mz_10500_10525,10512.5,55,352,0.0,1.877646,-1.877646,1.877646
ST131,mz_4850_4875,4862.5,55,352,6.450269,8.076635,-1.626366,1.626366
ST131,mz_17725_17750,17737.5,55,352,2.143014,0.561002,1.582012,1.582012
ST131,mz_4150_4175,4162.5,55,352,2.795074,4.362555,-1.567482,1.567482
ST131,mz_11775_11800,11787.5,55,352,2.678377,1.138269,1.540108,1.540108
ST131,mz_18175_18200,18187.5,55,352,3.394291,4.900561,-1.50627,1.50627
ST131,mz_11700_11725,11712.5,55,352,3.273011,1.795333,1.477678,1.477678
ST131,mz_6825_6850,6837.5,55,352,2.929857,1.477485,1.452372,1.452372
ST131,mz_17575_17600,17587.5,55,352,3.526061,2.073932,1.452128,1.452128
ST131,mz_10625_10650,10637.5,55,352,2.959906,1.524932,1.434974,1.434974
ST131,mz_16000_16025,16012.5,55,352,5.66633,4.249065,1.417265,1.417265
ST131,mz_7650_7675,7662.5,55,352,6.144139,4.73264,1.411499,1.411499
ST131,mz_11175_11200,11187.5,55,352,2.192338,3.576684,-1.384346,1.384346
ST131,mz_6800_6825,6812.5,55,352,1.849196,0.512344,1.336852,1.336852
ST131,mz_6475_6500,6487.5,55,352,3.040359,1.719543,1.320816,1.320816
ST131,mz_17500_17525,17512.5,55,352,3.186909,4.468538,-1.281629,1.281629
ST131,mz_8975_9000,8987.5,55,352,5.020032,3.739846,1.280186,1.280186
ST131,mz_14850_14875,14862.5,55,352,4.58883,3.331198,1.257632,1.257632
ST131,mz_8000_8025,8012.5,55,352,2.479836,1.245889,1.233947,1.233947
ST131,mz_11725_11750,11737.5,55,352,4.961388,6.187942,-1.226554,1.226554
ST131,mz_9275_9300,9287.5,55,352,5.172514,3.97189,1.200624,1.200624
ST131,mz_5325_5350,5337.5,55,352,8.621617,7.437083,1.184534,1.184534
ST131,mz_12625_12650,12637.5,55,352,3.119569,1.937739,1.18183,1.18183
ST131,mz_18475_18500,18487.5,55,352,1.981232,0.803858,1.177374,1.177374
ST131,mz_6875_6900,6887.5,55,352,1.199341,0.025945,1.173396,1.173396
ST131,mz_5050_5075,5062.5,55,352,7.531597,6.38562,1.145978,1.145978
ST131,mz_4825_4850,4837.5,55,352,1.833388,0.692516,1.140872,1.140872
ST131,mz_18525_18550,18537.5,55,352,3.31128,2.174474,1.136806,1.136806
ST131,mz_10725_10750,10737.5,55,352,5.830931,4.708914,1.122016,1.122016
ST131,mz_18150_18175,18162.5,55,352,3.135884,4.242647,-1.106763,1.106763
ST131,mz_12675_12700,12687.5,55,352,0.164781,1.26169,-1.096909,1.096909
ST131,mz_12975_13000,12987.5,55,352,7.588827,6.5172,1.071627,1.071627
ST131,mz_4050_4075,4062.5,55,352,1.544008,2.613078,-1.069069,1.069069
ST131,mz_4375_4400,4387.5,55,352,0.343044,1.376929,-1.033884,1.033884
ST131,mz_4775_4800,4787.5,55,352,4.662729,5.674255,-1.011526,1.011526
ST131,mz_14950_14975,14962.5,55,352,6.971045,5.961979,1.009066,1.009066
ST131,mz_8350_8375,8362.5,55,352,7.600239,8.607375,-1.007136,1.007136
ST131,mz_17600_17625,17612.5,55,352,4.580114,5.57199,-0.991876,0.991876
ST131,mz_8325_8350,8337.5,55,352,6.30089,7.281894,-0.981004,0.981004
ST131,mz_11450_11475,11462.5,55,352,5.705228,4.731655,0.973573,0.973573
ST131,mz_5750_5775,5762.5,55,352,3.424612,4.39613,-0.971518,0.971518
ST131,mz_17525_17550,17537.5,55,352,3.319725,2.381993,0.937732,0.937732
ST131,mz_9050_9075,9062.5,55,352,8.926745,9.859859,-0.933113,0.933113
ST131,mz_7700_7725,7712.5,55,352,8.015255,8.939321,-0.924065,0.924065
ST131,mz_5250_5275,5262.5,55,352,0.466489,1.389654,-0.923165,0.923165
ST131,mz_8825_8850,8837.5,55,352,0.138562,1.060771,-0.922209,0.922209
ST131,mz_4500_4525,4512.5,55,352,3.749391,2.828824,0.920566,0.920566
ST131,mz_15375_15400,15387.5,55,352,4.311661,3.399323,0.912339,0.912339
ST131,mz_17475_17500,17487.5,55,352,6.064809,5.15374,0.911069,0.911069
ST131,mz_17450_17475,17462.5,55,352,4.098248,3.190902,0.907346,0.907346
ST131,mz_18650_18675,18662.5,55,352,1.386098,2.283103,-0.897005,0.897005
ST131,mz_10900_10925,10912.5,55,352,6.926819,6.053939,0.87288,0.87288
ST131,mz_15850_15875,15862.5,55,352,3.478396,2.609681,0.868715,0.868715
ST131,mz_13675_13700,13687.5,55,352,0.35499,1.207578,-0.852588,0.852588
ST131,mz_13650_13675,13662.5,55,352,4.527885,5.366048,-0.838163,0.838163
ST131,mz_14975_15000,14987.5,55,352,4.100738,4.936776,-0.836038,0.836038
ST131,mz_14700_14725,14712.5,55,352,5.043141,4.212818,0.830323,0.830323
ST131,mz_13625_13650,13637.5,55,352,4.020502,3.194349,0.826153,0.826153
ST131,mz_10675_10700,10687.5,55,352,7.485444,6.663344,0.8221,0.8221
ST131,mz_5700_5725,5712.5,55,352,2.307375,1.496026,0.811349,0.811349
Ciprofloxacin_R,mz_13750_13775,13762.5,53,297,3.270081,0.70285,2.567232,2.567232
Ciprofloxacin_R,mz_11775_11800,11787.5,53,297,3.25983,1.016807,2.243023,2.243023
Ciprofloxacin_R,mz_9175_9200,9187.5,53,297,6.354142,4.19614,2.158002,2.158002
Ciprofloxacin_R,mz_6850_6875,6862.5,53,297,4.867735,6.933147,-2.065412,2.065412
Ciprofloxacin_R,mz_12150_12175,12162.5,53,297,4.168229,2.230604,1.937625,1.937625
Ciprofloxacin_R,mz_4525_4550,4537.5,53,297,4.879636,6.787549,-1.907912,1.907912
Ciprofloxacin_R,mz_4500_4525,4512.5,53,297,4.519593,2.802897,1.716695,1.716695
Ciprofloxacin_R,mz_8325_8350,8337.5,53,297,5.809157,7.433857,-1.624701,1.624701
Ciprofloxacin_R,mz_10500_10525,10512.5,53,297,0.341578,1.907942,-1.566364,1.566364
Ciprofloxacin_R,mz_4850_4875,4862.5,53,297,6.595459,8.145214,-1.549755,1.549755
Ciprofloxacin_R,mz_8000_8025,8012.5,53,297,2.719604,1.198774,1.520829,1.520829
Ciprofloxacin_R,mz_5750_5775,5762.5,53,297,2.991557,4.473957,-1.482399,1.482399
Ciprofloxacin_R,mz_9725_9750,9737.5,53,297,2.59979,4.055225,-1.455435,1.455435
Ciprofloxacin_R,mz_10650_10675,10662.5,53,297,3.207518,1.791618,1.4159,1.4159
Ciprofloxacin_R,mz_10900_10925,10912.5,53,297,7.240261,5.921772,1.318488,1.318488
Ciprofloxacin_R,mz_6475_6500,6487.5,53,297,2.826934,1.512914,1.31402,1.31402
Ciprofloxacin_R,mz_11700_11725,11712.5,53,297,0.940262,2.232265,-1.292003,1.292003
Ciprofloxacin_R,mz_10675_10700,10687.5,53,297,7.937496,6.649015,1.288481,1.288481
Ciprofloxacin_R,mz_16000_16025,16012.5,53,297,5.475029,4.187609,1.287419,1.287419
Ciprofloxacin_R,mz_13700_13725,13712.5,53,297,1.955995,3.21113,-1.255135,1.255135
Ciprofloxacin_R,mz_6100_6125,6112.5,53,297,6.459534,5.220483,1.239051,1.239051
Ciprofloxacin_R,mz_15050_15075,15062.5,53,297,0.658507,1.894117,-1.23561,1.23561
Ciprofloxacin_R,mz_9250_9275,9262.5,53,297,8.417794,7.25496,1.162834,1.162834
Ciprofloxacin_R,mz_5050_5075,5062.5,53,297,7.522417,6.360119,1.162299,1.162299
Ciprofloxacin_R,mz_8425_8450,8437.5,53,297,2.521792,1.366659,1.155134,1.155134
Ciprofloxacin_R,mz_5325_5350,5337.5,53,297,8.544552,7.406603,1.137949,1.137949
Ciprofloxacin_R,mz_17575_17600,17587.5,53,297,3.084813,1.963492,1.121321,1.121321
Ciprofloxacin_R,mz_14850_14875,14862.5,53,297,4.576199,3.455412,1.120787,1.120787
Ciprofloxacin_R,mz_9050_9075,9062.5,53,297,8.769113,9.877403,-1.108289,1.108289
Ciprofloxacin_R,mz_12650_12675,12662.5,53,297,6.492363,5.399382,1.092981,1.092981
Ciprofloxacin_R,mz_9550_9575,9562.5,53,297,0.528702,1.613764,-1.085061,1.085061
Ciprofloxacin_R,mz_10625_10650,10637.5,53,297,2.557141,1.50401,1.053132,1.053132
Ciprofloxacin_R,mz_6375_6400,6387.5,53,297,7.395177,6.349838,1.045339,1.045339
Ciprofloxacin_R,mz_12675_12700,12687.5,53,297,0.322453,1.352708,-1.030255,1.030255
Ciprofloxacin_R,mz_13725_13750,13737.5,53,297,4.509819,5.529477,-1.019658,1.019658
Ciprofloxacin_R,mz_10725_10750,10737.5,53,297,3.974171,4.986157,-1.011985,1.011985
Ciprofloxacin_R,mz_17500_17525,17512.5,53,297,3.595941,4.593545,-0.997604,0.997604
Ciprofloxacin_R,mz_9200_9225,9212.5,53,297,8.812688,7.855099,0.957589,0.957589
Ciprofloxacin_R,mz_14875_14900,14887.5,53,297,2.533554,1.61181,0.921744,0.921744
Ciprofloxacin_R,mz_13675_13700,13687.5,53,297,0.354142,1.270683,-0.916541,0.916541
Ciprofloxacin_R,mz_8975_9000,8987.5,53,297,4.706018,3.790672,0.915347,0.915347
Ciprofloxacin_R,mz_19075_19100,19087.5,53,297,1.744843,0.869224,0.875619,0.875619
Ciprofloxacin_R,mz_7650_7675,7662.5,53,297,5.548979,4.674518,0.87446,0.87446
Ciprofloxacin_R,mz_6875_6900,6887.5,53,297,0.93123,0.057697,0.873532,0.873532
Ciprofloxacin_R,mz_5225_5250,5237.5,53,297,3.427104,4.293822,-0.866717,0.866717
Ciprofloxacin_R,mz_5450_5475,5462.5,53,297,6.265628,5.40057,0.865057,0.865057
Ciprofloxacin_R,mz_5550_5575,5562.5,53,297,3.871435,4.731211,-0.859776,0.859776
Ciprofloxacin_R,mz_4050_4075,4062.5,53,297,1.813922,2.668725,-0.854803,0.854803
Ciprofloxacin_R,mz_4775_4800,4787.5,53,297,5.012883,5.861267,-0.848384,0.848384
Ciprofloxacin_R,mz_4375_4400,4387.5,53,297,0.499527,1.345246,-0.845719,0.845719
Ciprofloxacin_R,mz_15300_15325,15312.5,53,297,3.882609,3.051498,0.831111,0.831111
Ciprofloxacin_R,mz_18400_18425,18412.5,53,297,1.356164,0.528544,0.827619,0.827619
Ciprofloxacin_R,mz_15500_15525,15512.5,53,297,1.307453,0.49123,0.816222,0.816222
Ciprofloxacin_R,mz_17475_17500,17487.5,53,297,5.911262,5.1018,0.809463,0.809463
Ciprofloxacin_R,mz_13375_13400,13387.5,53,297,1.230095,2.026305,-0.79621,0.79621
Ciprofloxacin_R,mz_18875_18900,18887.5,53,297,1.676763,0.884656,0.792107,0.792107
Ciprofloxacin_R,mz_5125_5150,5137.5,53,297,6.329973,5.552846,0.777127,0.777127
Ciprofloxacin_R,mz_6825_6850,6837.5,53,297,2.282929,1.509115,0.773814,0.773814
Ciprofloxacin_R,mz_7475_7500,7487.5,53,297,2.874662,2.104442,0.77022,0.77022
Ciprofloxacin_R,mz_5850_5875,5862.5,53,297,5.680246,4.911755,0.768491,0.768491
Ciprofloxacin_R,mz_18525_18550,18537.5,53,297,2.982968,2.239962,0.743006,0.743006
Ciprofloxacin_R,mz_15425_15450,15437.5,53,297,1.070149,1.808095,-0.737946,0.737946
Ciprofloxacin_R,mz_14825_14850,14837.5,53,297,0.113826,0.829999,-0.716173,0.716173
Ciprofloxacin_R,mz_15875_15900,15887.5,53,297,0.385022,1.098249,-0.713227,0.713227
Ciprofloxacin_R,mz_15975_16000,15987.5,53,297,1.164926,1.877812,-0.712885,0.712885
Ciprofloxacin_R,mz_10100_10125,10112.5,53,297,2.25914,1.571526,0.687614,0.687614
Ciprofloxacin_R,mz_7325_7350,7337.5,53,297,3.982854,3.305414,0.677441,0.677441
Ciprofloxacin_R,mz_15375_15400,15387.5,53,297,4.044406,3.384608,0.659798,0.659798
Ciprofloxacin_R,mz_8300_8325,8312.5,53,297,2.279595,2.937225,-0.65763,0.65763
Ciprofloxacin_R,mz_14425_14450,14437.5,53,297,0.892287,1.546446,-0.65416,0.65416
Ciprofloxacin_R,mz_13350_13375,13362.5,53,297,7.87013,7.219794,0.650335,0.650335
Ciprofloxacin_R,mz_4600_4625,4612.5,53,297,9.391503,8.744214,0.647289,0.647289
Ciprofloxacin_R,mz_5350_5375,5362.5,53,297,3.89589,3.256707,0.639183,0.639183
Ciprofloxacin_R,mz_15400_15425,15412.5,53,297,8.712734,8.078823,0.633912,0.633912
Ciprofloxacin_R,mz_13000_13025,13012.5,53,297,7.953054,7.332854,0.6202,0.6202
Ceftriaxone_R,mz_13750_13775,13762.5,30,330,4.12115,0.80521,3.31594,3.31594
Ceftriaxone_R,mz_6850_6875,6862.5,30,330,3.606647,6.880942,-3.274295,3.274295
Ceftriaxone_R,mz_17500_17525,17512.5,30,330,2.350448,4.606722,-2.256274,2.256274
Ceftriaxone_R,mz_8425_8450,8437.5,30,330,3.679456,1.433658,2.245798,2.245798
Ceftriaxone_R,mz_9725_9750,9737.5,30,330,2.170977,4.06608,-1.895103,1.895103
Ceftriaxone_R,mz_4525_4550,4537.5,30,330,4.762498,6.625359,-1.862861,1.862861
Ceftriaxone_R,mz_12150_12175,12162.5,30,330,4.170939,2.362147,1.808793,1.808793
Ceftriaxone_R,mz_10500_10525,10512.5,30,330,0.0,1.801186,-1.801186,1.801186
Ceftriaxone_R,mz_11775_11800,11787.5,30,330,2.952141,1.193052,1.759089,1.759089
Ceftriaxone_R,mz_4475_4500,4487.5,30,330,5.601542,3.848003,1.753539,1.753539
Ceftriaxone_R,mz_15300_15325,15312.5,30,330,4.773453,3.064308,1.709145,1.709145
Ceftriaxone_R,mz_8975_9000,8987.5,30,330,5.427005,3.725138,1.701867,1.701867
Ceftriaxone_R,mz_10450_10475,10462.5,30,330,6.637829,5.069902,1.567927,1.567927
Ceftriaxone_R,mz_16000_16025,16012.5,30,330,5.828432,4.269063,1.559369,1.559369
Ceftriaxone_R,mz_12175_12200,12187.5,30,330,3.636888,2.095348,1.54154,1.54154
Ceftriaxone_R,mz_5550_5575,5562.5,30,330,3.179488,4.705249,-1.525761,1.525761
Ceftriaxone_R,mz_7350_7375,7362.5,30,330,2.249655,3.773024,-1.523368,1.523368
Ceftriaxone_R,mz_11725_11750,11737.5,30,330,4.528779,6.028267,-1.499487,1.499487
Ceftriaxone_R,mz_15375_15400,15387.5,30,330,4.78502,3.407409,1.377611,1.377611
Ceftriaxone_R,mz_7875_7900,7887.5,30,330,4.234481,2.89259,1.341891,1.341891
Ceftriaxone_R,mz_8300_8325,8312.5,30,330,1.647745,2.976762,-1.329016,1.329016
Ceftriaxone_R,mz_12675_12700,12687.5,30,330,0.0,1.321862,-1.321862,1.321862
Ceftriaxone_R,mz_18150_18175,18162.5,30,330,2.991341,4.313199,-1.321857,1.321857
Ceftriaxone_R,mz_8325_8350,8337.5,30,330,6.037111,7.313019,-1.275908,1.275908
Ceftriaxone_R,mz_10650_10675,10662.5,30,330,3.208234,1.937454,1.27078,1.27078
Ceftriaxone_R,mz_13700_13725,13712.5,30,330,1.870812,3.137376,-1.266565,1.266565
Ceftriaxone_R,mz_11450_11475,11462.5,30,330,6.050051,4.856168,1.193882,1.193882
Ceftriaxone_R,mz_14875_14900,14887.5,30,330,2.847098,1.664638,1.18246,1.18246
Ceftriaxone_R,mz_5125_5150,5137.5,30,330,4.586114,5.767554,-1.181439,1.181439
Ceftriaxone_R,mz_4850_4875,4862.5,30,330,6.838267,8.002022,-1.163755,1.163755
Ceftriaxone_R,mz_6825_6850,6837.5,30,330,2.674722,1.528823,1.1459,1.1459
Ceftriaxone_R,mz_4200_4225,4212.5,30,330,2.124601,0.987594,1.137007,1.137007
Ceftriaxone_R,mz_5450_5475,5462.5,30,330,4.514646,5.650415,-1.135769,1.135769
Ceftriaxone_R,mz_12225_12250,12237.5,30,330,0.24934,1.288047,-1.038707,1.038707
Ceftriaxone_R,mz_14950_14975,14962.5,30,330,7.032107,6.004164,1.027943,1.027943
Ceftriaxone_R,mz_4775_4800,4787.5,30,330,4.740806,5.76288,-1.022075,1.022075
Ceftriaxone_R,mz_17475_17500,17487.5,30,330,6.135662,5.129064,1.006597,1.006597
Ceftriaxone_R,mz_8375_8400,8387.5,30,330,2.755952,1.750297,1.005655,1.005655
Ceftriaxone_R,mz_5075_5100,5087.5,30,330,9.266675,8.261282,1.005393,1.005393
Ceftriaxone_R,mz_13375_13400,13387.5,30,330,0.946895,1.935154,-0.988259,0.988259
Ceftriaxone_R,mz_10275_10300,10287.5,30,330,7.623123,8.583157,-0.960035,0.960035
Ceftriaxone_R,mz_12650_12675,12662.5,30,330,6.422007,5.479745,0.942262,0.942262
Ceftriaxone_R,mz_7275_7300,7287.5,30,330,6.469875,5.529654,0.940221,0.940221
Ceftriaxone_R,mz_8875_8900,8887.5,30,330,7.519043,6.581084,0.937959,0.937959
Ceftriaxone_R,mz_15700_15725,15712.5,30,330,3.409742,4.338612,-0.92887,0.92887
Ceftriaxone_R,mz_8825_8850,8837.5,30,330,0.0,0.893997,-0.893997,0.893997
Ceftriaxone_R,mz_14975_15000,14987.5,30,330,4.065109,4.954047,-0.888938,0.888938
Ceftriaxone_R,mz_9175_9200,9187.5,30,330,5.334695,4.447739,0.886956,0.886956
Ceftriaxone_R,mz_4150_4175,4162.5,30,330,3.384845,4.262209,-0.877365,0.877365
Ceftriaxone_R,mz_13725_13750,13737.5,30,330,4.564359,5.434268,-0.869909,0.869909
Ceftriaxone_R,mz_10675_10700,10687.5,30,330,7.599879,6.731573,0.868307,0.868307
Ceftriaxone_R,mz_17375_17400,17387.5,30,330,2.074717,1.207316,0.867401,0.867401
Ceftriaxone_R,mz_5575_5600,5587.5,30,330,2.062729,2.928907,-0.866177,0.866177
Ceftriaxone_R,mz_7025_7050,7037.5,30,330,1.08035,0.215885,0.864465,0.864465
Ceftriaxone_R,mz_11175_11200,11187.5,30,330,2.74474,3.608406,-0.863666,0.863666
Ceftriaxone_R,mz_18475_18500,18487.5,30,330,1.757649,0.91765,0.839999,0.839999
Ceftriaxone_R,mz_14700_14725,14712.5,30,330,5.038667,4.208907,0.829761,0.829761
Ceftriaxone_R,mz_6900_6925,6912.5,30,330,0.82394,0.0,0.82394,0.82394
Ceftriaxone_R,mz_7675_7700,7687.5,30,330,1.161799,1.97951,-0.817711,0.817711
Ceftriaxone_R,mz_9050_9075,9062.5,30,330,8.984784,9.795611,-0.810827,0.810827
Ceftriaxone_R,mz_15825_15850,15837.5,30,330,2.884076,2.084753,0.799323,0.799323
Ceftriaxone_R,mz_17725_17750,17737.5,30,330,1.505606,0.714978,0.790628,0.790628
Ceftriaxone_R,mz_10100_10125,10112.5,30,330,2.362329,1.586841,0.775488,0.775488
Ceftriaxone_R,mz_18400_18425,18412.5,30,330,1.362856,0.60437,0.758486,0.758486
Ceftriaxone_R,mz_11225_11250,11237.5,30,330,0.828312,1.586782,-0.758471,0.758471
Ceftriaxone_R,mz_13625_13650,13637.5,30,330,4.063317,3.306309,0.757008,0.757008
Ceftriaxone_R,mz_10625_10650,10637.5,30,330,2.370468,1.621605,0.748862,0.748862
Ceftriaxone_R,mz_16725_16750,16737.5,30,330,1.743549,0.996502,0.747047,0.747047
Ceftriaxone_R,mz_15975_16000,15987.5,30,330,1.135964,1.881804,-0.74584,0.74584
Ceftriaxone_R,mz_18875_18900,18887.5,30,330,1.687987,0.946513,0.741474,0.741474
Ceftriaxone_R,mz_18600_18625,18612.5,30,330,3.698322,4.439307,-0.740985,0.740985
Ceftriaxone_R,mz_5150_5175,5162.5,30,330,9.077334,8.341415,0.735918,0.735918
Ceftriaxone_R,mz_9250_9275,9262.5,30,330,8.11791,7.390355,0.727555,0.727555
Ceftriaxone_R,mz_18575_18600,18587.5,30,330,3.758548,4.476189,-0.717641,0.717641
Ceftriaxone_R,mz_6875_6900,6887.5,30,330,0.835776,0.125509,0.710267,0.710267
