site,drug,n,n_r,prevalence,auc,brier,expected_calibration_error,threshold,sensitivity,specificity,ppv,npv,balanced_accuracy,calibration_label
A-2018,Amox-Clav,1367,383,0.280176,0.650345,0.229865,0.194027,0.5,0.524804,0.684959,0.393346,0.787383,0.604882,borderline_calibration
A-2018,FEP,1230,65,0.0528455,0.866636,0.0701507,0.121275,0.5,0.692308,0.920172,0.326087,0.981685,0.80624,well_calibrated
A-2018,CAZ,1257,120,0.0954654,0.837782,0.101364,0.127086,0.5,0.658333,0.894459,0.396985,0.961248,0.776396,well_calibrated
A-2018,CRO,1390,258,0.185612,0.863259,0.130287,0.144403,0.5,0.748062,0.838339,0.513298,0.935897,0.793201,well_calibrated
A-2018,Cipro,1350,355,0.262963,0.822524,0.170743,0.15456,0.5,0.704225,0.769849,0.521921,0.879449,0.737037,borderline_calibration
A-2018,Norflox,439,87,0.198178,0.742588,0.193551,0.176794,0.5,0.563218,0.747159,0.355072,0.873754,0.655189,borderline_calibration
DRIAMS-B,Amox-Clav,198,61,0.308081,0.694268,0.224354,0.178064,0.5,0.622951,0.671533,0.457831,0.8,0.647242,borderline_calibration
DRIAMS-B,FEP,213,43,0.201878,0.753215,0.142801,0.0725795,0.5,0.395349,0.9,0.5,0.854749,0.647674,well_calibrated
DRIAMS-B,CAZ,213,45,0.211268,0.734921,0.148506,0.0758478,0.5,0.444444,0.886905,0.512821,0.856322,0.665675,well_calibrated
DRIAMS-B,CRO,213,45,0.211268,0.743122,0.166101,0.117021,0.5,0.577778,0.827381,0.472727,0.879747,0.702579,well_calibrated
DRIAMS-B,Cipro,212,58,0.273585,0.773735,0.192311,0.161604,0.5,0.672414,0.727273,0.481481,0.854962,0.699843,borderline_calibration
DRIAMS-B,Norflox,210,69,0.328571,0.702642,0.227658,0.178222,0.5,0.608696,0.716312,0.512195,0.789062,0.662504,borderline_calibration
DRIAMS-C,Amox-Clav,902,230,0.254989,0.535443,0.264539,0.246496,0.5,0.486957,0.549107,0.26988,0.7577,0.518032,borderline_calibration
DRIAMS-C,FEP,609,113,0.18555,0.648248,0.174554,0.132302,0.5,0.345133,0.856855,0.354545,0.851703,0.600994,well_calibrated
DRIAMS-C,CAZ,908,139,0.153084,0.609256,0.180103,0.161441,0.5,0.338129,0.825748,0.259669,0.873453,0.581939,borderline_calibration
DRIAMS-C,CRO,913,148,0.162103,0.6233,0.214529,0.228773,0.5,0.459459,0.734641,0.250923,0.875389,0.59705,borderline_calibration
DRIAMS-C,Cipro,886,188,0.21219,0.749893,0.216062,0.232564,0.5,0.702128,0.659026,0.356757,0.891473,0.680577,borderline_calibration
DRIAMS-C,Norflox,442,118,0.266968,0.778693,0.214624,0.213054,0.5,0.737288,0.666667,0.446154,0.874494,0.701977,borderline_calibration
DRIAMS-D,Amox-Clav,1994,332,0.166499,0.556721,0.25949,0.332923,0.5,0.512048,0.551745,0.185792,0.849861,0.531897,poorly_calibrated
DRIAMS-D,FEP,1923,80,0.0416017,0.768753,0.107226,0.182867,0.5,0.55,0.858926,0.144737,0.977764,0.704463,borderline_calibration
DRIAMS-D,CAZ,1987,178,0.0895823,0.727374,0.13533,0.170718,0.5,0.505618,0.832504,0.229008,0.944793,0.669061,borderline_calibration
DRIAMS-D,CRO,1994,198,0.0992979,0.72581,0.173565,0.23415,0.5,0.560606,0.762249,0.20632,0.940247,0.661428,borderline_calibration
DRIAMS-D,Cipro,1939,371,0.191336,0.670566,0.24009,0.25987,0.5,0.606469,0.635842,0.282663,0.872266,0.621155,poorly_calibrated
