min_stratum,site,organism,drug,raw_auc,matched_auc,centered_auc,pairwise_accuracy,pairwise_comparisons,matched_retention,n_total,n_r,n_matched,n_matched_r,n_valid_strata
3,Hospital-A,Escherichia coli,Amoxicillin-Clavulanic acid,0.5195,0.5767,0.4054,0.2754,334,0.7533,150,24,113,19,3
3,Hospital-A,Escherichia coli,Ceftriaxone,0.6234,0.5549,0.5025,0.5452,598,0.8867,150,33,133,22,3
3,Hospital-A,Escherichia coli,Ciprofloxacin,1.0000,1.0000,1.0000,1.0000,120,0.2533,150,40,38,30,2
3,Hospital-A,Escherichia coli,Norfloxacin,0.9989,1.0000,0.9987,1.0000,376,0.6800,150,44,102,8,2
3,Hospital-A,Staphylococcus aureus,Ciprofloxacin,0.9694,0.9588,0.9565,0.9539,586,0.6312,160,26,101,23,3
3,Hospital-A,Staphylococcus aureus,Erythromycin,0.6567,0.6579,0.5975,0.5916,1305,0.9375,160,44,150,43,4
3,Hospital-A,Staphylococcus aureus,Oxacillin,1.0000,1.0000,1.0000,1.0000,1150,0.7063,160,48,113,42,3
3,Hospital-A,Staphylococcus aureus,Penicillin,0.8619,0.8302,0.8154,0.8209,1608,0.6375,160,120,102,64,2
3,Hospital-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.5883,0.3269,0.3269,0.3269,52,0.1133,150,25,17,13,1
3,Hospital-B,Escherichia coli,Ceftriaxone,0.5038,0.1692,0.1692,0.1692,328,0.5733,150,28,86,4,1
3,Hospital-B,Escherichia coli,Ciprofloxacin,1.0000,1.0000,0.7592,1.0000,345,0.8067,150,46,121,36,2
3,Hospital-B,Escherichia coli,Norfloxacin,0.9996,0.9993,0.7634,1.0000,345,0.8067,150,48,121,36,2
3,Hospital-B,Staphylococcus aureus,Ciprofloxacin,0.9968,0.9965,0.9895,0.9983,595,0.9625,160,28,154,27,5
3,Hospital-B,Staphylococcus aureus,Erythromycin,0.6569,0.6535,0.5540,0.5883,1387,0.9750,160,46,156,45,5
3,Hospital-B,Staphylococcus aureus,Oxacillin,1.0000,1.0000,0.9964,1.0000,1184,0.8500,160,40,136,40,4
3,Hospital-B,Staphylococcus aureus,Penicillin,0.7886,0.7936,0.7883,0.8380,1167,0.7125,160,136,114,91,3
